Algorithm,Size,Time
RecTranspose,2048,0.015841
RecTranspose,2048,0.0065396
RecTranspose,2048,0.0068347
RecTranspose,2048,0.0073626
RecTranspose,2048,0.006708
RecTranspose,2048,0.0064255
RecTranspose,2048,0.0069027
RecTranspose,2048,0.0067614
RecTranspose,2048,0.006885
RecTranspose,2048,0.0070669
RecTranspose,3072,0.0156645
RecTranspose,3072,0.0142473
RecTranspose,3072,0.0172176
RecTranspose,3072,0.0145943
RecTranspose,3072,0.0140005
RecTranspose,3072,0.0167913
RecTranspose,3072,0.0151287
RecTranspose,3072,0.0153235
RecTranspose,3072,0.0145208
RecTranspose,3072,0.0151357
RecTranspose,4096,0.033136
RecTranspose,4096,0.0544588
RecTranspose,4096,0.031251
RecTranspose,4096,0.0346316
RecTranspose,4096,0.0319619
RecTranspose,4096,0.0320151
RecTranspose,4096,0.0300754
RecTranspose,4096,0.0321286
RecTranspose,4096,0.032451
RecTranspose,4096,0.0303366
